district,neighborhood,total_listings,avg_price,avg_price_per_m2
 Beyoğlu , Sururi Mehmet Efendi Mah.,6,20028.333333333332,295.4384615384615
 Kadıköy , Rasimpaşa Mah.,25,18652.8,295.0688494444319
 Kartal , Kordonboyu Mah.,18,32892.5,294.8411141498134
 Şişli , Kuştepe Mah.,50,22692.3,292.78895828510855
 Fatih , Atikali Mah.,1,36500.0,292.0
 Ümraniye , Esenkent Mah.,2,20000.0,290.44117647058823
 Zeytinburnu , Merkezefendi Mah.,15,33493.0,290.3601655654287
 Maltepe , Yalı Mah.,17,37535.882352941175,289.7996007770781
 Fatih , Yavuz Sultan Selim Mah.,6,21916.666666666668,289.00132275132273
 Sultangazi , Gazi Mah.,1,24500.0,288.2352941176471
 Kağıthane , Seyrantepe Mah.,85,27686.84705882353,288.2016302987104
 Beylikdüzü , Sahil Mah.,30,28366.666666666668,287.66184177267496
 Eyüpsultan , Emniyettepe Mah.,35,22752.85714285714,285.2033817163229
 Kağıthane , Mehmet Akif Ersoy Mah.,4,21250.0,283.73015873015873
 Üsküdar , Ünalan Mah.,24,22851.666666666668,282.75347494978604
 Beykoz , Tokatköy Mah.,3,17666.666666666668,282.5
 Başakşehir , Başak Mah.,5,32500.0,281.9950212769267
 Esenyurt , Esenkent Mah.,3,26333.333333333332,281.3650878920823
 Ataşehir , Barbaros Mah.,22,56092.5,281.2031160260192
 Güngören , Mehmet Nesih Özmen Mah.,3,35000.0,280.8641975308642
 Beyoğlu , Kamer Hatun Mah.,19,13988.421052631578,280.103462855891
 Beykoz , Gümüşsuyu Mah.,9,28555.555555555555,279.64036500268384
 Beyoğlu , Bostan Mah.,2,21750.0,279.16666666666663
 Ümraniye , Madenler Mah.,10,32262.0,278.599115826702
 Beyoğlu , Yahya Kahya Mah.,3,30000.0,278.2378553743703
 Tuzla , Postane Mah.,5,36800.0,277.06654456654456
 Beyoğlu , Ömer Avni Mah.,15,26191.666666666668,276.77954355585933
 Beşiktaş , Mecidiye Mah.,28,28017.10714285714,275.22921253924915
 Pendik , Çamlık Mah.,2,33000.0,274.3265993265993
 Ataşehir , Örnek Mah.,19,21228.42105263158,272.81394173800794
 Maltepe , Altayçeşme Mah.,29,29070.689655172413,271.34993169600386
 Kartal , Yakacık Yeni Mah.,8,23193.125,270.93494369725187
 Maltepe , Bağlarbaşı Mah.,27,21699.074074074073,269.78650146245604
 Üsküdar , Yavuztürk Mah.,1,35000.0,269.2307692307692
